review_id,product_id,rating,comment,created_at,sentiment_label,sentiment_score
605948686,870669244,5,ARKADASLAR ALMALISINIZ dudagım cok kurur kısın ozellikle ama bu urun gercekten cok iyi yumusacık yapıyor,1768901717957,positive,0.7798049449920654
605652122,870669244,5,komşumda denedim bayılarak aldım herkese tavsiye ederim,1768818141323,positive,0.8133071660995483
604804158,870669244,5,pembesini beğenip aldım buda çok güzel,1768551665710,negative,0.7451233863830566
607040418,870669244,5,Kokusu yapısı çok güzel,1769194424690,positive,0.9073386192321777
605566864,870669244,5,Mükemmeeelll çok beğendimmm,1768774840344,positive,0.9943448305130005
604085945,870669244,4,Pigmentini düşük buldum ama kokusu tadı güzel,1768320252397,negative,0.992992639541626
604893322,870669244,5,Güzel pembesini kullanıyordum zaten,1768570989353,negative,0.9070831537246704
605185819,870669244,5,Tek kelimeyle harika alın aldırrın🥰,1768657375655,positive,0.9925467371940613
606334464,870669244,5,Çok tatlı kokusu,1769003442527,positive,0.9811573624610901
605798716,870669244,5,Cooook güzel kokuları da,1768847406940,positive,0.9778339862823486
591795403,870669244,5,rengi cok güzel kahverengi olanı almıştım rengini beğenmedim ama bu çok güzel.elimin üstünde kırmızı duruyor ama dudakta rengi çok guzel.,1764596330193,negative,0.9455183744430542
606292545,870669244,5,Harika bir balmm,1768995669414,positive,0.9948858618736267
592945729,870669244,4,Ürün güzel ama bu kadar küçük beklemiyordum dudakta güzel duruyor,1764865301007,negative,0.9903131723403931
604629539,870669244,5,Tek kelimeyle mükemmel ben çok memnunum ikinci alışım😊,1768487420723,positive,0.9955058097839355
605955211,870669244,5,Çok güzel bir tonu var yazın Gloss olarak bile kullanılabilir,1768903047340,positive,0.9747686982154846
603812811,870669244,5,Yapısı yoğun nemlendirmesi güzel kokusuna bayıldımm üst dudak kırmızısı alt dudak pembe olan ışıkta cam gibi parlıyor çok güzel,1768236125676,positive,0.5455043911933899
604527723,870669244,5,kokularina bayildiimmm tek kelimeyle harika 😻😻 nemlendirmesi ve parlakligi da gayet yeterli herkese tavsiye ederimm🤌🏼🤌🏼🤌🏼,1768463720177,positive,0.9958043694496155
604483846,870669244,5,Çok beğendim çok güzel bir yapısı var,1768430787512,positive,0.9943333864212036
603634849,870669244,5,Hafif bir yapış hissi var o da geçiyo sonradan. Cebimde taşıyorum sürekli. Hem dudak nemleniyor Hemde parıldıyor,1768178561502,positive,0.7151756286621094
604404268,870669244,3,"En kırmızı olanını aldım, onun bile rengi yok, hafif bir pembelik sadece. Kıvamı çok güzel, yumuşak, tadı da güzel ama hem rengi yok hem de o kadarcık renk kalıcı değil. Öyle uzun süre kullanılacak bir ürüne de benzemiyor, bitince bir daha almam.",1768413499793,negative,0.999450147151947
604570401,870669244,5,çok güzel kokuyor,1768473991771,positive,0.9910573959350586
604375145,870669244,5,aşık oldum farklı renklerini de söyledim bugün,1768407435930,positive,0.9921076893806458
606261305,870669244,4,Ürünün rengi ve nemlendirmesi iyi beğendim.,1768989686836,negative,0.9748786091804504
605918390,870669244,4,Daha kullanmadım,1768895104365,negative,0.9936051964759827
605968656,870669244,5,Beğendim çok renk vermiyor ama nemlendirmesi parlatması çok güzel,1768905738494,negative,0.9915156364440918
604278027,870669244,4,Ürün gayet güzel hafif bi renk veriyor günlük kullanıma uygun,1768387265647,negative,0.9874662756919861
604970589,870669244,5,Çoook güzell alın,1768588310496,positive,0.9955106973648071
604018480,870669244,5,Çok güzel bir ürün her rengi alınmalı tadı çilekli sanki çilekli danone yiyomuşsunuz gibi akma dağılma yağlanma yapmıyo yapış yapışlık bırakmıyo kurutmuyo ve inanılmaz bi renk veriyo çok güzel bir ürün,1768305096482,positive,0.9946117401123047
605167382,870669244,5,ÇOK TEŞŞEKÜR EDİYORUM TEDARİK ETTİLER ÜRÜNÜMÜ BU DEVİRDE ZOR BÖYLE SATICI ALIN ALDIRIN KIZZLARRrrr,1768653627527,negative,0.7670942544937134
605827233,870669244,5,Harika nemlendiriyor ve renk veriyor,1768852720350,positive,0.9848850965499878
607154324,870669244,1,ürünün paketlemesinde kesinlikle sıkıntı var aka aka kullanicak ürün kalmadı verdigim paraya yazik,1769245134514,negative,0.9991746544837952
